artist,description,duration,genre,popularity,ranking,sentiment,track,writers,year,black,female,single_genre
Big Star,"Chilton and his band Big Star got totally ignored in the early Seventies, but “September Gurls” remains the stuff of legend. It’s the sound of Memphis boys schooled in Stax soul, but reaching for Byrds-Beatles songcraft, with guitar chime and Chilton’s yearning voice. “I guess I was one of those kind of maudlin, young, early-twenties sort of people at that time,” Chilton recalled later. “There were a lot of youthful questions on my mind I wanted to answer.” Big Star became hugely influential, inspiring kindred spirits like R.E.M., the Replacements, and Elliott Smith.",168066,"['alternative rock', 'art rock', 'baroque pop', 'beatlesque', 'country rock', 'folk', 'folk rock', 'gbvfi', 'indie rock', 'jangle pop', 'melancholia', 'power pop', 'pub rock', 'roots rock']",43,239,"{'compound': 0.9498, 'neg': 0.017, 'neu': 0.803, 'pos': 0.18}",September Gurls',Alex Chilton,1974,False,False,rock
Backstreet Boys,"The Backstreet Boys sang a boy-band standard with their 1999 smash “I Want It That Way.” It defined the MTV Total Request Live era, when BSB and ‘NSync battled it out for the hearts of young America. It came from Swedish songwriters Carlsson and Martin, who were still just learning English. “The lyric doesn’t really mean anything,” Carlsson admitted. “The record company was like, ‘We need to bring in maybe another lyricist to help work on this.’” But Brian, Howie, A.J., Nick, and Kevin make every line soar like pure poetry.",213306,"['boy band', 'dance pop']",78,240,"{'compound': 0.6808, 'neg': 0.017, 'neu': 0.886, 'pos': 0.097}",I Want It That Way',"Andreas Carlsson, Karl Sandberg",1999,False,False,pop
Digital Underground,"Humpty Hump taught the world how to do “The Humpty Dance” in 1990, making party animals shout along to “I get stupid! I shoot an arrow like Cupid! I use a word that don’t mean nothing, like ‘loopid!’” Bay Area crew Digital Underground infused hip-hop with the crazed spirit of George Clinton and Prince, lecherous without any of the era’s usual sexist clichés. As the late Shock G said, “I brought the perv tone.” “The Humpty Dance” still drops enough bass to make anyone get busy in a Burger King bathroom.",391693,"['conscious hip hop', 'funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap', 'west coast rap']",62,241,"{'compound': -0.3348, 'neg': 0.11, 'neu': 0.794, 'pos': 0.096}",The Humpty Dance',"Earl Humphrey, Gregory Jacobs",1990,True,False,hip hop
Jerry Lee Lewis,"With Lewis pounding the piano and leering, “Great Balls of Fire” was full of Southern Baptist hellfire turned into a near-blasphemous ode to pure lust. Lewis, a Bible-college dropout and cousin to Jimmy Swaggart, refused to sing it at first and got into a theological argument with producer Sam Phillips that concluded with Lewis asking, “How can the devil save souls?” But as the session wore on, Lewis’ mood changed considerably — on bootleg tapes, he can be heard saying, “I would like to eat a little pussy if I had some.”",109706,"['adult standards', 'brill building pop', 'piano rock', 'rock-and-roll', 'rockabilly']",62,242,"{'compound': 0.0772, 'neg': 0.065, 'neu': 0.877, 'pos': 0.058}",Great Balls of Fire',"Otis Blackwell, Jack Hammer",1957,False,False,pop
The Beatles,"“Eleanor Rigby” was one of the Beatles’ most radical shifts, both musically and emotionally. McCartney was still just 23 when he wrote this empathetic portrait of old age. He fumbled with the story until he hit on the image “picks up the rice in a church where a wedding has been.” As he said, “So this became a song about lonely people.” None of the Beatles play on it — George Martin conducted an eight-man classical-string section. “Father McKenzie” was originally “Father McCartney”; Lennon and McCartney flipped through a phone book until they found the name they wanted.",125226,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",69,243,"{'compound': 0.4633, 'neg': 0.026, 'neu': 0.918, 'pos': 0.056}",Eleanor Rigby',"John Lennon, Paul McCartney",1966,False,False,rock
Pavement,"Pavement dropped the last thing anyone expected from indie rock in 1991 — a wistful ballad about a summer crush. Malkmus and Kannberg, two guitar dudes from Northern California, cut “Summer Babe” in the garage studio of their hippie drummer, Gary Young. “We didn’t know how to record,” Malkmus confessed. “We used reverb on the drums — the cheapest, worst reverb ever.” (They released “Summer Babe” as a single on the tiny Drag City label in 1991, and a year later it opened their classic Matador debut, Slanted and Enchanted.) According to Malkmus, he was trying to imitate Lou Reed, singing about “sad-boy stuff.” It evokes the levees and houseboats of their youth — as Malkmus said, “That’s definitely the suburban California summer.”",196600,"['alternative rock', 'anti-folk', 'art rock', 'dream pop', 'freak folk', 'indie rock', 'lo-fi', 'modern rock', 'new wave', 'rock']",44,244,"{'compound': -0.7184, 'neg': 0.079, 'neu': 0.9, 'pos': 0.022}",Summer Babe (Winter Version)',Stephen Malkmus,1992,False,False,rock
Beastie Boys,"The Beasties started raising hell as a New York hardcore-punk band before evolving into hip-hop kings. “Sabotage” shows off their mastery in both domains, a rap-rock bombshell from their 1994 hit Ill Communication. The three MCs jam on Yauch’s fuzzed-out bass riff, while Horovitz gets ill on the mic. As he said, “This one called for some old-fashioned screaming, that’s for sure.” “Sabotage” also inspired one of the coolest videos ever, a Seventies trip full of bad wigs and cheap suits — as big an influence on comedy as it was on music.",178440,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock']",71,245,"{'compound': -0.891, 'neg': 0.157, 'neu': 0.788, 'pos': 0.055}",Sabotage',"Michael Diamond, Adam Horovitz, Adam Yauch",1994,False,False,hip hop
Faces,"These rowdy London lads were all-star mates on a bender, with Rod Stewart up front and Ronnie Wood on guitar. But for all their crazy grins and boozy bluster, the Faces made some of the Seventies’ friendliest-sounding rock & roll. Ronnie Lane co-wrote “Ooh La La,” perhaps best known from the final scene of Rushmore; it’s an old man’s pub lament, but you can hear a smile in it — a song that slaps you on the back and welcomes you into the room. When Lane was a kid, his dad said, “Son, learn to play a guitar. You’ll always have a friend.” That’s the spirit of “Ooh La La.”",214080,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'glam rock', 'hard rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']",69,246,"{'compound': 0.9186, 'neg': 0.059, 'neu': 0.776, 'pos': 0.166}",Ooh La La',"Ronnie Lane, Ronnie Wood",1973,False,False,rock
Joni Mitchell,"Mitchell joked about writing a song called “Have Yourself a Morbid Little Christmas.” But there’s no holiday tune that feels quite as chilly as “River,” from her 1971 classic, Blue. It’s just Mitchell alone at her piano, playing a variation on “Jingle Bells.” She grieves the end of a love affair, singing, “I’m hard to handle, I’m selfish, and I’m sad/Now I’ve gone and lost the best baby that I ever had.” “River” evokes the winter blues — as she said, “It’s a Christmas song for people who are lonely at Christmas.”",245040,"['canadian singer-songwriter', 'folk', 'folk rock', 'lilith', 'mellow gold', 'rock', 'singer-songwriter']",57,247,"{'compound': -0.1027, 'neg': 0.189, 'neu': 0.644, 'pos': 0.168}",River',Joni Mitchell,1971,False,True,singer-songwriter
N.W.A,"N.W.A came in with a bang, kicking off their debut album with this West Coast gangsta attack, changing hip-hop forever. “Straight Outta Compton” cranked up the violence to previously unheard of levels, with DJ Yella and Dr. Dre’s explosive production and Ice Cube boasting “Here’s a murder rap to keep you dancin’/With a crime record like Charles Manson!” It takes only three lines for the first weapon to get fired. “Straight Outta Compton” was an instant sensation, claiming L.A. as rap’s new capital. As Chris Rock said, “It was kind of like the British Invasion for Black people.”",258687,"['conscious hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'west coast rap']",69,248,"{'compound': -0.9551, 'neg': 0.189, 'neu': 0.767, 'pos': 0.044}",Straight Outta Compton',"MC Ren, Ice Cube, Eazy-E",1988,True,False,hip hop
Joan Jett,"Saint Joan banged out this three-chord nugget after the collapse of the Runaways, at a time when the music business was trying to write her off as a has-been (Jett’s debut album got rejected by 23 labels before she decided to put it out herself). You can hear her explode with fury every time she yells “I don’t give a damn about my bad reputation!” She lived up to the song’s outlaw spirit — not only did she refuse to tame her music or image, she also became a megastar just by being herself. Jett still has her bad reputation, and she still doesn’t give a damn.",169186,"['glam punk', 'rock']",66,249,"{'compound': -0.9732, 'neg': 0.211, 'neu': 0.774, 'pos': 0.014}",Bad Reputation',"Joan Jett, Kenny Laguna, Marty Kupersmith, Ritchie Cordell",1980,False,True,rock
The Jimi Hendrix Experience,"“Purple Haze” launched not one but two revolutions: late-Sixties psychedelia and the unprecedented genius of Hendrix. The first chord of its main riff has come to be known among guitarists as the “Hendrix chord.” The Experience recorded “Purple Haze” across a series of sessions in January and February 1967, experimenting with recording techniques such as the blitzed-out distortion on Hendrix’s guitar — when the master tape was sent to their American record label, an enclosed note diligently pointed out that the distorted sound of the song was deliberate.",296586,[],0,250,"{'compound': -0.5106, 'neg': 0.04, 'neu': 0.946, 'pos': 0.014}",Purple Haze',Jimi Hendrix,1967,True,False,other
Gloria Gaynor,"By the mid-Seventies, Gaynor’s career was falling apart. Donna Summer had replaced her as the leading disco diva, and 32-year-old Gaynor had suffered the death of her mother and had recently undergone spinal surgery after tripping onstage and triggering temporary paralysis. So when she belted out “I Will Survive,” she brought extra attitude. The track was originally a B side, but after enterprising DJs started to play it at discos, it turned into a smash. “I never tire of ‘I Will Survive,’” Gaynor told Rolling Stone in 2016. “I love doing it for the audience.”",198066,['disco'],67,251,"{'compound': 0.8885, 'neg': 0.056, 'neu': 0.817, 'pos': 0.127}",I Will Survive',"Dino Fekaris, Freddie Perren",1978,True,True,other
Parliament,"“Flash Light” is the P-Funk Nation’s groove manifesto. Clinton built his Parliament-Funkadelic universe over a run of Seventies concept albums, never faking the funk. “We’re going to get the message out,” Clinton told Rolling Stone in 1978. “We want to put the show on Broadway — tell the story straightforward so people understand that funk mean funk.” “Flash Light” became one of their rare crossover hits, laying out the P-Funk philosophy, with Clinton commanding “Dance, sucker!” over Worrel’s bass line (played on a Moog synth). It all builds up to the orgiastic party chant “Everybody’s got a little light under the sun!”",346666,"['afrofuturism', 'funk', 'funk rock', 'jazz funk', 'motown', 'p funk', 'soul']",60,252,"{'compound': 0.711, 'neg': 0.0, 'neu': 0.932, 'pos': 0.068}",Flash Light',"George Clinton, Bootsy Collins, Bernie Worrel",1977,True,False,funk
Willie Nelson,"The simplicity of this 1947 composition by Fred Rose made it the perfect vehicle for Nelson, who was then working on his ambitious concept album Red Headed Stranger. “I was gathering songs that I thought told that story. And I just thought that ‘Blue Eyes’ was the perfect song for that spot,” Nelson said. “Simple and to the point. Beautiful, sad love song.” The track marked a turning point for Nelson, whose career at the time was still mostly defined by the lush production style of Nashville in the Sixties. After nearly two decades of trying, it became his first country Number One hit as a singer.",138600,"['classic country pop', 'country', 'country rock', 'nashville sound', 'outlaw country', 'singer-songwriter', 'texas country']",58,253,"{'compound': 0.9501, 'neg': 0.026, 'neu': 0.807, 'pos': 0.167}",Blue Eyes Crying in the Rain',Fred Rose,1975,False,False,folk
The Supremes,"Lamont Dozier of Motown’s famed Holland-Dozier-Holland songwriting team came up with the idea for “Stop! In the Name of Love” after his girlfriend at the time caught him cheating in a motel: “This particular girl was very headstrong,” he recalled. “So we got into an argument. She started swinging, missed me, hit the floor. And I laughed and said, ‘Please stop! Stop in the name of love.’” The silliness of the moment stopped the fight, and immediately struck Dozier as song material, and after affixing it to a killer Brian Holland hook, it became the Supremes’ fourth of five straight Number Ones.",172906,"['brill building pop', 'classic girl group', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",62,254,"{'compound': -0.957, 'neg': 0.22, 'neu': 0.728, 'pos': 0.052}",Stop! In the Name of Love',"Lamont Dozier, Brian Holland, Eddie Holland",1965,True,True,pop
Loretta Lynn,"In the late Sixties, many country singers stopped wearing overalls and skirts and changed into suits and gowns, which reflected the music’s transformation into the more elegant and urbane style known as the Nashville Sound. In 1970, Lynn turned that trend on its end with an autobiographical song, “Coal Miner’s Daughter,” that celebrated rural life, in all its difficulties. She wrote it on a $17 guitar that refused to stay in tune, singing about reading the Bible by coal-oil light, going without shoes in summer, her mother’s hands bleeding from hard work. “Every word is true,” she later said.",180960,"['country', 'country rock', 'nashville sound']",57,255,"{'compound': 0.3384, 'neg': 0.072, 'neu': 0.861, 'pos': 0.066}",Coal Miner’s Daughter',Loretta Lynn,1970,False,True,folk
Metallica,"Metallica have always been at their best when they’re raging against confinement, whether that’s institutional, governmental, religious, familial, or — in arguably the greatest song, on their greatest album — chemical. “‘Master of Puppets’ deals pretty much with drugs,” Hetfield once said of this eight-and-a-half-minute masterwork. “How things get switched around, instead of you controlling what you’re taking and doing, it’s drugs controlling you.” Sung from the perspective of the narcotic itself, the song moves from merciless thrash to a mournful ballad interlude, simulating the perilous highs and crushing lows of a life lived at the end of addiction’s strings.",515386,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",66,256,"{'compound': 0.7579, 'neg': 0.107, 'neu': 0.756, 'pos': 0.137}",Master of Puppets',"Cliff Burton, Kirk Hammett, James Hetfield, Lars Ulrich",1986,False,False,rock
Martha Reeves and the Vandellas,"The Motown empire really got going in 1963, and the record that underlined the label’s ascent was this buoyant summertime smash: “It became the song that summer,” Reeves recalled. No surprise that it came from the company’s premiere writer-producer team, Holland-Dozier-Holland — who, gearing up for world domination with the Supremes, worked with their audience in mind: “I realized that females bought the most records, and they always seemed to be falling in love with somebody,” Eddie Holland said in 2019.",163053,"['brill building pop', 'classic girl group', 'classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul']",61,257,"{'compound': 0.6625, 'neg': 0.057, 'neu': 0.846, 'pos': 0.096}",Heat Wave',"Brian Holland, Eddie Holland, Lamont Dozier",1963,True,True,soul
Gil-Scott Heron,"Heron was a 19-year-old college student watching a baseball game in his dorm room when he got the idea for “The Revolution Will Not Be Televised,” a proto-rap single that demonstrates the wide gap between the messages of advertising-driven media and the goal of real societal change. Even if some of the references are dated — “Women will not care if Dick finally got down with Jane on Search for Tomorrow” — the call to arms has not lost any of its power: “Because Black people will be in the street looking for a brighter day.”",185878,"['afrobeat', 'conscious hip hop', 'funk', 'jazz funk', 'political hip hop', 'slam poetry', 'soul']",55,258,"{'compound': 0.577, 'neg': 0.027, 'neu': 0.885, 'pos': 0.087}",The Revolution Will Not Be Televised',Gil-Scott Heron,1971,True,False,hip hop
Neil Young,"“[Heart of Gold] put me in the middle of the road,” Young wrote in the liner notes to his retrospective Decade box. His only Number One signaled the arrival of a new countrified prettiness that would come to define the laid-back Seventies. Future soft-rock aristocrats James Taylor and Linda Ronstadt sang backing vocals at the song’s Nashville session, but there’s nothing mellow about the forlorn worry in Young’s voice when he sings “I’ve been searching for a heart of gold/And I’m getting old.”",187013,"['album rock', 'canadian singer-songwriter', 'classic canadian rock', 'classic rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter']",71,259,"{'compound': -0.5647, 'neg': 0.046, 'neu': 0.928, 'pos': 0.026}",Heart of Gold',Neil Young,1972,False,False,rock
The Wailers,"“‘Get Up, Stand Up’ was the final song recorded for the original Wailers’ final album, left for last because it was the easiest track on the album, just unison singing,” said Bunny Wailer. But the sessions for Burnin’, the reggae trio’s second album for Island, were thick with tension — Marley’s material was getting more attention than his bandmates’. Marley asked Tosh to write a verse for his rousing anthem to cut him in on the royalties; Tosh later typified his contribution, the song’s fire-breathing final verse, as “bullshit.”",197666,"['dub', 'reggae', 'roots reggae', 'ska']",61,260,"{'compound': -0.4678, 'neg': 0.061, 'neu': 0.901, 'pos': 0.039}","Get Up, Stand Up'","Bob Marley, Peter Tosh",1973,True,False,reggae
Curtis Mayfield,"Mayfield writes from the perspective of the neighborhood drug dealer — a swaggering figure, but also “a victim of ghetto demands” — in this throbbing, wah-wah-slathered track from the soundtrack to the 1972 movie Super Fly. Mayfield doles out his story in terse three-syllable bursts (“Ain’t I clean/Bad machine/Super cool/Super mean”), his heavenly falsetto only partially obscuring the desperation, addiction, and menace he describes. As Johnny Pate, who collaborated with Mayfield on the arrangements for “Pusherman” and other Super Fly tracks, later noted, “If you listen to these closely … Curtis was almost rapping through these things.”",300693,"['chicago soul', 'classic soul', 'funk', 'soul']",56,261,"{'compound': 0.8047, 'neg': 0.097, 'neu': 0.76, 'pos': 0.143}",Pusherman',Curtis Mayfield,1972,True,False,soul
Paul Simon,"“I don’t write overtly political songs,” Simon once said, “although ‘American Tune’ comes pretty close, as it was written just after Richard Nixon was elected.” The gently soaring song perfectly summed up the sense of weary dejection after Nixon’s landslide reelection and the larger fading of the Sixties utopian dream, while also powerfully affirming a core faith in the American story and promise — when Jimmy Carter got elected three years after “American Tune” was released, Simon played it at his inauguration.",225133,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",46,262,"{'compound': 0.9501, 'neg': 0.022, 'neu': 0.766, 'pos': 0.212}",American Tune',Paul Simon,1973,False,False,rock
Dolly Parton,"“Coat of Many Colors” is part autobiography, part valuable life lesson, set to a hummable melody. Parton’s mother did make her a patchwork coat and the kids at school made fun of her, which was a traumatic experience. She wrote the lyrics on the back of a dry-cleaning receipt when she had the idea, and she came up with a message that still encapsulates her worldview. “It teaches about bullying, about love, about acceptance, about good parents,” she wrote in the book Songteller. “That little story has even been written into a schoolbook to teach children about being different, that it’s all right to be different.”",183666,"['classic country pop', 'country', 'country dawn']",56,263,"{'compound': 0.836, 'neg': 0.065, 'neu': 0.794, 'pos': 0.141}",Coat of Many Colors',Dolly Parton,1971,False,True,folk
Marvin Gaye,"After 1971’s “What’s Going On,” Gaye radically changed course with this ode to sexual bliss. With the help of producer and songwriter Ed Townsend, Gaye created a masterpiece of erotic persuasion that topped the pop and R&B charts. The singer later said that he hoped “Let’s Get It On” didn’t “advocate promiscuity,” but also said he had a hunch the song might have “some aphrodisiac power.” When Gaye’s father heard it, he called and told him, “Please, please, don’t go any further. You’re supposed to be a minister’s son.”",290960,"['classic soul', 'funk', 'indie r&b', 'motown', 'northern soul', 'quiet storm', 'soul']",60,264,"{'compound': 0.875, 'neg': 0.0, 'neu': 0.86, 'pos': 0.14}",Let's Get It On',"Marvin Gaye, Ed Townsend",1973,True,False,soul
The Replacements,"The Minneapolis indie-rock heroes’ peak songwriting moment was inspired by a crush Westerberg had on Lynn Blakey, singer for the North Carolina band Let’s Active. “I figured the only way I’d hear her voice was her band on the radio … on a college station,” he said. One night on tour, he did, and he turned the moment into a long-distance love song — to a cool Southern girl, to low-wattage college-radio stations, and the whole underground scene the Replacements had grown up in.",223186,"['alternative pop', 'alternative rock', 'art rock', 'indie rock', 'new wave', 'permanent wave', 'pop rock', 'post-punk', 'power pop', 'punk', 'rock', 'roots rock']",37,265,"{'compound': 0.8957, 'neg': 0.018, 'neu': 0.839, 'pos': 0.143}",Left of the Dial',Paul Westerberg,1985,False,False,rock
Augustus Pablo,"This revolutionary dub masterwork was the tip of a musical iceberg — roots reggae’s psychedelic underside, where bedrock grooves were tweaked into startling new shapes by engineers with royal nicknames like King Tubby. He did his definitive work for the B side of the Pablo-produced Jacob Miller single “Baby I Love You So.” Tubby’s remix kept the churning groove, but nearly all of the instruments and Miller’s voice dart in and out of the mix while the King throws echo around like confetti. Floating above it all is Pablo’s melodica, a plastic kids’ instrument, that in his hands summoned an unearthly calm.",153666,"['dub', 'reggae', 'rock steady', 'roots reggae', 'ska']",43,266,"{'compound': 0.8658, 'neg': 0.0, 'neu': 0.887, 'pos': 0.113}",King Tubby Meets the Rockers Uptown',Augustus Pablo,1974,True,False,reggae
Drake feat. Rihanna,"“‘Take Care’ is this thing we use in passing conversation to dismiss bullshit like, ‘Oh, you couldn’t make it on time? Oh, take care, take care,'” Drake explained. But his second album’s title track is far more tender than that — it cemented the Toronto rapper as pop’s reigning male star. If Drake’s superpower is elevating petty romantic complaints into hip-hop mythmaking, this is the blueprint, made from wholesale samples from Gil-Scott Heron as remixed by Jamie xx. Guest star Rihanna, effortlessly adult and sexy, and singing the refrain from Bobby Bland’s “I’ll Take Care of You,” alchemizes the song.",277386,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",72,267,"{'compound': 0.8519, 'neg': 0.071, 'neu': 0.779, 'pos': 0.151}",Take Care',"Brook Benton, James Smith, Aubrey Graham, Noah Shebib, Anthony Palman",2011,True,False,hip hop
The Isley Brothers,"The five-minute-long workout “Shout” was a modest hit upon its original release in 1959, but it’s perhaps better remembered for its appearance in the 1978 movie Animal House, where it was relaunched as an all-time party classic. As O’Kelly Isley, who helped found the group in the mid-Fifties, noted, “People have been playin’ our music in bars and discotheques for years,” he told Rolling Stone in 1975, “’cause it’s danceable, man.”",267933,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul']",9,268,"{'compound': 0.8422, 'neg': 0.0, 'neu': 0.881, 'pos': 0.119}",Shout (Parts 1 and 2)',"Rudolph Isley, Ronald Isley, O'Kelly Isley",1959,True,False,soul
The Righteous Brothers,"The ultimate prom ballad, “Unchained Melody” was written in 1955 by a pair of Broadway songwriters — not intended for rock & roll. But a decade later, the blue-eyed soul pioneers the Righteous Brothers took it up, with Bobby Hatfield’s caramel-like tenor soaring over the most swoon-y Wall of Sound producer Phil Spector ever concocted. It proved so irresistible that it became a hit all over again a quarter-century later, thanks to its sync in the hit movie Ghost.",218013,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']",72,269,"{'compound': 0.7248, 'neg': 0.036, 'neu': 0.864, 'pos': 0.099}",Unchained Melody',"Alex North, Hy Zaret",1965,False,False,pop
Nine Inch Nails,"“That’s the all-time fuck song,” Mötley Crüe drummer Tommy Lee famously said of “Closer.” “Those are pure fuck beats — Trent Reznor knew what he was doing.” Or did he? According to Martin Huxley’s biography of the band, Reznor was not expecting his blow-by-blow account of self-loathing to dominate the radio airwaves in 1994. But underneath its industrial grime and “I wanna fuck you like an animal!!!!” wails, the song’s got an infectious, Prince-like funk to it — a trait that was only heightened, not diminished, by Reznor’s lustful chorus.",373000,"['alternative metal', 'alternative rock', 'cyberpunk', 'electronic rock', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'rock']",66,270,"{'compound': -0.8926, 'neg': 0.15, 'neu': 0.817, 'pos': 0.033}",Closer',Trent Reznor,1994,False,False,rock
Procol Harum,"A somber hymn supported by an organ theme straight out of Bach (“Air on the G String,” from his Suite No. 3 in D Major), Procol Harum’s “A Whiter Shade of Pale” was unlike anything else on the radio in 1967. Keith Reid got the idea for the song when he overheard someone at a party tell a woman, “You’ve gone a whiter shade of pale.” The track was also the only one recorded by the initial lineup of Procol Harum, which started as a British band, the Paramounts. It helped kick-start a late-Sixties classical-rock boomlet.",248946,"['album rock', 'art rock', 'blues rock', 'british invasion', 'classic rock', 'folk rock', 'progressive rock', 'psychedelic rock', 'symphonic rock']",66,271,"{'compound': 0.2263, 'neg': 0.053, 'neu': 0.873, 'pos': 0.073}",A Whiter Shade of Pale',"Keith Reid, Gary Brooker",1967,False,False,rock
Thin Lizzy,"After seven years of slogging it out on the concert circuit, opening for the likes of Bob Seger and BTO, Irish rockers Thin Lizzy finally scored a worldwide hit with 1976’s “The Boys Are Back in Town” — powered by the twin guitar attack of Scott Gorham and Brian Robertson and frontman Phil Lynott’s rowdy-night-out lyrics. At first, Lynott wasn’t sure what to do with the undeniably hot song he’d come up with. “I was calling it ‘G.I. Joe Is Back,’ ‘The Kids Are Back,’ but that was like the Who,” he recalled. “It was a case of overthinking.”",266720,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'irish rock', 'metal', 'rock']",73,272,"{'compound': 0.5789, 'neg': 0.02, 'neu': 0.912, 'pos': 0.067}",The Boys Are Back in Town',Phil Lynott,1976,False,False,rock
Roberta Flack,"“Killing Me Softly With His Song” is the culmination of two discoveries. Songwriter Lori Lieberman went to a club one night to see Don McLean, then a little-known singer, and felt, overwhelmingly, like his songs could’ve been about her. She wrote a poem about it, which Charles Fox and Norman Gimbel turned into a song, and Lieberman recorded. Then Roberta Flack heard the song on a plane as part of the in-flight entertainment, and later called it “a song I feel was given to me as a gift.” Her version is stately and elegant, a singer’s tribute to the power of songwriting.",286920,"['adult standards', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']",71,273,"{'compound': 0.7845, 'neg': 0.015, 'neu': 0.901, 'pos': 0.084}",Killing Me Softly With His Song',"Norman Gimbel, Charles Fox",1973,True,True,soul
Al Green,"Mabon “Teenie” Hodges wrote the urgent, romantic “Love and Happiness” one morning in between having sex with his girlfriend and watching wrestling on TV. Green recently claimed that Hodges sang him the opening guitar riff on a road trip and they drove 160 miles back to Memphis to record it that night. He has described the song as “like a slow fever, building on the beat, pushing up the temperature with each breath of the staccato horns and pushing through delirium as we came up on the fade.”",307062,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']",63,274,"{'compound': 0.5423, 'neg': 0.0, 'neu': 0.949, 'pos': 0.051}",Love and Happiness',"Al Green, Mabon Hodges",1972,True,False,soul
Randy Newman,"Singers from Ray Charles to Bobby Darin to Etta James covered this portrait of American capitalist hucksterism, sung from the perspective of a slave trader. “I didn’t just want to say, ‘Slavery is awful.’ It’s too easy,” Newman told Rolling Stone years later. “I had this idea of a slave ship and a sea shanty — this guy standing in a clearing, singing to a crowd of natives.” As usual for Newman, it combines lush melody with painful satire. “One thing with my music,” he said, “you can’t sit and eat potato chips and have it on in the background at a party.”",173266,"['disney', 'movie tunes', 'singer-songwriter']",34,275,"{'compound': -0.3818, 'neg': 0.03, 'neu': 0.957, 'pos': 0.013}",Sail Away',Randy Newman,1972,False,False,singer-songwriter
Buzzcocks,"These Manchester kids invented a whole new school of pop punk — faster and funnier than any band around. Pete Shelley poured his heart into witty three-minute vignettes of sexual confusion. This 1978 hit sums them up, right down to the sly quiver in his voice as he sneers the question, “Ever fallen in love with someone you shouldn’t have fallen in love with?” The Buzzcocks’ emotional punch — and queer candor — twisted rock’s gender clichés. “Brilliantly non-macho,” the Smiths’ Johnny Marr said. “You don’t know whether Pete Shelley is being sad or funny or sarcastic or sincere.”",163693,"['alternative rock', 'hardcore punk', 'madchester', 'new wave', 'post-punk', 'pub rock', 'punk']",63,276,"{'compound': 0.6486, 'neg': 0.109, 'neu': 0.753, 'pos': 0.138}",Ever Fallen in Love (With Someone You Shouldn't've)',Peter Shelley,1978,False,False,rock
Bo Diddley,"Born Ellas Otha Bates, Bo Diddley fashioned himself as the roguish trickster of his own songs’ lyrics, starting with his self-titled debut for the Chess sub-label Checker (which rejected an earlier version, titled “Uncle John,” for being too dirty). Diddley’s badder-than-thou lyrics (“Up your house and gone again,” he sneers to a rival) laid the blueprint for rap boasters from LL Cool J to Drake, and so did his undulant, kinetic guitar rhythms. And the “Bo Diddley beat” — shave and a haircut, two bits — became the Bo Diddley beat, instantly recognizable, eternally imitated but never duplicated.",149013,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'funk', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul', 'traditional blues']",52,277,"{'compound': -0.2382, 'neg': 0.038, 'neu': 0.945, 'pos': 0.017}",Bo Diddley',Ellas McDaniel,1955,True,False,blues
Toots and the Maytals,"Mixing Southern soul with Jamaican roots, the Maytals whipped up a near-gospel fervor on “Pressure Drop,” which scores one of the most indelible music sequences in film: Jimmy Cliff being chased through Kingston by the law in The Harder They Come, as Toots’ throbbing reggae groove tails him like a spotlight. In one of his final interviews, Toots Hibbert explained the title’s dual meaning: “Pressure gonna drop off is a good thing. Pressure is gonna drop on people, and they work to get the pressure off.”",174960,"['reggae', 'rock steady', 'ska']",47,278,"{'compound': -0.296, 'neg': 0.095, 'neu': 0.846, 'pos': 0.059}",Pressure Drop',Toots Hibbert,1973,True,False,reggae
